Datum,Zeit,Schritte
2026.02.09 06:07:00,06:07:00,15
2026.02.09 06:10:00,06:10:00,7
2026.02.09 06:11:00,06:11:00,32
2026.02.09 06:12:00,06:12:00,7
2026.02.09 06:13:00,06:13:00,22
2026.02.09 06:15:00,06:15:00,28
2026.02.09 06:16:00,06:16:00,19
2026.02.09 06:57:00,06:57:00,108
2026.02.09 06:58:00,06:58:00,106
2026.02.09 06:59:00,06:59:00,35
2026.02.09 07:05:00,07:05:00,48
2026.02.09 07:06:00,07:06:00,75
2026.02.09 07:07:00,07:07:00,66
2026.02.09 07:08:00,07:08:00,70
2026.02.09 07:12:00,07:12:00,23
2026.02.09 07:18:00,07:18:00,81
2026.02.09 07:19:00,07:19:00,107
2026.02.09 07:20:00,07:20:00,74
2026.02.09 07:21:00,07:21:00,75
2026.02.09 07:22:00,07:22:00,89
2026.02.09 07:23:00,07:23:00,64
2026.02.09 07:24:00,07:24:00,97
2026.02.09 07:25:00,07:25:00,103
2026.02.09 07:26:00,07:26:00,99
2026.02.09 07:27:00,07:27:00,29
2026.02.09 07:29:00,07:29:00,21
2026.02.09 07:44:00,07:44:00,7
2026.02.09 07:59:00,07:59:00,6
2026.02.09 08:07:00,08:07:00,8
2026.02.09 08:08:00,08:08:00,23
2026.02.09 09:30:00,09:30:00,44
2026.02.09 09:31:00,09:31:00,118
2026.02.09 09:32:00,09:32:00,13
2026.02.09 09:33:00,09:33:00,36
2026.02.09 11:19:00,11:19:00,95
2026.02.09 11:20:00,11:20:00,104
2026.02.09 11:21:00,11:21:00,78
2026.02.09 11:22:00,11:22:00,109
2026.02.09 11:23:00,11:23:00,81
2026.02.09 11:24:00,11:24:00,43
2026.02.09 11:31:00,11:31:00,18
2026.02.09 11:32:00,11:32:00,89
2026.02.09 11:33:00,11:33:00,102
2026.02.09 11:34:00,11:34:00,65
2026.02.09 11:35:00,11:35:00,44
2026.02.09 11:36:00,11:36:00,11
2026.02.09 11:37:00,11:37:00,76
2026.02.09 11:38:00,11:38:00,104
2026.02.09 11:39:00,11:39:00,99
2026.02.09 11:40:00,11:40:00,72
2026.02.09 11:41:00,11:41:00,19
2026.02.09 12:11:00,12:11:00,31
2026.02.09 12:12:00,12:12:00,30
2026.02.09 12:14:00,12:14:00,15
2026.02.09 12:15:00,12:15:00,16
2026.02.09 13:51:00,13:51:00,27
2026.02.09 13:52:00,13:52:00,105
2026.02.09 13:53:00,13:53:00,63
2026.02.09 13:54:00,13:54:00,59
2026.02.09 13:55:00,13:55:00,42
2026.02.09 14:04:00,14:04:00,15
2026.02.09 14:06:00,14:06:00,63
2026.02.09 14:07:00,14:07:00,65
2026.02.09 14:47:00,14:47:00,7
2026.02.09 15:17:00,15:17:00,14
2026.02.09 15:19:00,15:19:00,21
2026.02.09 16:27:00,16:27:00,72
2026.02.09 16:28:00,16:28:00,86
2026.02.09 16:29:00,16:29:00,106
2026.02.09 16:30:00,16:30:00,106
2026.02.09 16:31:00,16:31:00,104
2026.02.09 16:32:00,16:32:00,23
2026.02.09 16:39:00,16:39:00,95
2026.02.09 16:40:00,16:40:00,72
2026.02.09 16:41:00,16:41:00,100
2026.02.09 16:42:00,16:42:00,68
2026.02.09 16:45:00,16:45:00,18
2026.02.09 16:48:00,16:48:00,8
2026.02.09 16:52:00,16:52:00,11
2026.02.09 16:53:00,16:53:00,75
2026.02.09 16:54:00,16:54:00,87
2026.02.09 16:55:00,16:55:00,60
2026.02.09 16:56:00,16:56:00,76
2026.02.09 16:57:00,16:57:00,62
2026.02.09 16:58:00,16:58:00,103
2026.02.09 16:59:00,16:59:00,22
2026.02.09 17:02:00,17:02:00,20
2026.02.09 17:03:00,17:03:00,73
2026.02.09 17:19:00,17:19:00,6
2026.02.09 17:37:00,17:37:00,14
2026.02.09 17:38:00,17:38:00,103
2026.02.09 17:39:00,17:39:00,102
2026.02.09 17:40:00,17:40:00,106
2026.02.09 17:41:00,17:41:00,73
2026.02.09 17:42:00,17:42:00,30
2026.02.09 17:43:00,17:43:00,66
2026.02.09 17:44:00,17:44:00,54
2026.02.09 17:46:00,17:46:00,10
2026.02.09 17:51:00,17:51:00,9
2026.02.09 17:55:00,17:55:00,9
2026.02.09 18:01:00,18:01:00,57
2026.02.09 18:02:00,18:02:00,56
2026.02.09 18:03:00,18:03:00,24
2026.02.09 18:05:00,18:05:00,19
2026.02.09 18:06:00,18:06:00,38
2026.02.09 18:07:00,18:07:00,56
2026.02.09 18:08:00,18:08:00,63
2026.02.09 18:09:00,18:09:00,59
2026.02.09 18:10:00,18:10:00,76
2026.02.09 18:13:00,18:13:00,52
2026.02.09 18:15:00,18:15:00,41
2026.02.09 18:16:00,18:16:00,97
2026.02.09 18:17:00,18:17:00,75
2026.02.09 18:24:00,18:24:00,50
2026.02.09 18:25:00,18:25:00,48
2026.02.09 18:26:00,18:26:00,1
2026.02.09 18:27:00,18:27:00,30
2026.02.09 18:52:00,18:52:00,51
2026.02.09 18:53:00,18:53:00,31
2026.02.09 18:54:00,18:54:00,36
2026.02.09 18:55:00,18:55:00,4
2026.02.09 18:58:00,18:58:00,14
2026.02.09 19:00:00,19:00:00,37
2026.02.09 19:01:00,19:01:00,19
2026.02.09 19:02:00,19:02:00,37
2026.02.09 19:03:00,19:03:00,9
2026.02.09 19:04:00,19:04:00,17
2026.02.09 19:09:00,19:09:00,9
2026.02.09 19:10:00,19:10:00,11
2026.02.09 19:12:00,19:12:00,11
2026.02.09 19:13:00,19:13:00,6
2026.02.09 19:22:00,19:22:00,7
2026.02.09 19:23:00,19:23:00,41
2026.02.09 19:24:00,19:24:00,10
2026.02.09 19:28:00,19:28:00,35
2026.02.09 20:32:00,20:32:00,6
2026.02.09 20:43:00,20:43:00,7
2026.02.09 21:12:00,21:12:00,6
2026.02.09 21:13:00,21:13:00,15
2026.02.09 21:16:00,21:16:00,32
2026.02.09 21:17:00,21:17:00,1
2026.02.09 21:18:00,21:18:00,27
2026.02.09 21:19:00,21:19:00,9
2026.02.09 21:41:00,21:41:00,25
2026.02.09 22:10:00,22:10:00,12
2026.02.09 22:26:00,22:26:00,7
2026.02.09 22:34:00,22:34:00,14
2026.02.09 22:35:00,22:35:00,20
2026.02.09 22:38:00,22:38:00,14
2026.02.09 22:39:00,22:39:00,4
2026.02.09 22:40:00,22:40:00,13
2026.02.10 07:42:00,07:42:00,27
2026.02.10 07:45:00,07:45:00,9
2026.02.10 07:56:00,07:56:00,9
2026.02.10 08:03:00,08:03:00,10
2026.02.10 08:14:00,08:14:00,27
2026.02.10 08:15:00,08:15:00,20
2026.02.10 08:17:00,08:17:00,34
2026.02.10 08:18:00,08:18:00,113
2026.02.10 08:19:00,08:19:00,112
2026.02.10 08:20:00,08:20:00,87
2026.02.10 08:21:00,08:21:00,18
2026.02.10 08:22:00,08:22:00,10
2026.02.10 08:23:00,08:23:00,111
2026.02.10 08:24:00,08:24:00,68
2026.02.10 08:28:00,08:28:00,14
2026.02.10 08:29:00,08:29:00,92
2026.02.10 08:30:00,08:30:00,80
2026.02.10 08:31:00,08:31:00,18
2026.02.10 08:37:00,08:37:00,12
2026.02.10 08:38:00,08:38:00,33
2026.02.10 08:53:00,08:53:00,57
2026.02.10 08:54:00,08:54:00,117
2026.02.10 08:55:00,08:55:00,116
2026.02.10 08:56:00,08:56:00,88
2026.02.10 08:57:00,08:57:00,60
2026.02.10 08:59:00,08:59:00,21
2026.02.10 09:07:00,09:07:00,68
2026.02.10 09:08:00,09:08:00,112
2026.02.10 09:09:00,09:09:00,70
2026.02.10 09:10:00,09:10:00,14
2026.02.10 09:16:00,09:16:00,26
2026.02.10 09:17:00,09:17:00,101
2026.02.10 09:18:00,09:18:00,107
2026.02.10 09:19:00,09:19:00,110
2026.02.10 09:20:00,09:20:00,86
2026.02.10 09:23:00,09:23:00,81
2026.02.10 09:24:00,09:24:00,100
2026.02.10 09:25:00,09:25:00,3
2026.02.10 09:52:00,09:52:00,13
2026.02.10 10:21:00,10:21:00,83
2026.02.10 10:22:00,10:22:00,113
2026.02.10 10:23:00,10:23:00,117
2026.02.10 10:24:00,10:24:00,119
2026.02.10 10:25:00,10:25:00,60
2026.02.10 10:26:00,10:26:00,98
2026.02.10 10:27:00,10:27:00,21
2026.02.10 10:28:00,10:28:00,60
2026.02.10 10:29:00,10:29:00,44
2026.02.10 10:30:00,10:30:00,41
2026.02.10 10:31:00,10:31:00,6
2026.02.10 10:32:00,10:32:00,105
2026.02.10 10:33:00,10:33:00,115
2026.02.10 10:34:00,10:34:00,116
2026.02.10 10:35:00,10:35:00,99
2026.02.10 10:36:00,10:36:00,81
2026.02.10 10:37:00,10:37:00,12
2026.02.10 12:50:00,12:50:00,7
2026.02.10 12:52:00,12:52:00,8
2026.02.10 13:23:00,13:23:00,23
2026.02.10 13:49:00,13:49:00,14
2026.02.10 13:51:00,13:51:00,14
2026.02.10 14:30:00,14:30:00,34
2026.02.10 14:31:00,14:31:00,3
2026.02.10 14:36:00,14:36:00,8
2026.02.10 14:37:00,14:37:00,65
2026.02.10 14:38:00,14:38:00,105
2026.02.10 14:39:00,14:39:00,53
2026.02.10 14:40:00,14:40:00,105
2026.02.10 14:41:00,14:41:00,107
2026.02.10 14:42:00,14:42:00,62
2026.02.10 14:43:00,14:43:00,79
2026.02.10 14:52:00,14:52:00,77
