Datum,Zeit,Schritte
2026.02.23 01:25:44,01:25:44,6
2026.02.23 01:25:56,01:25:56,17
2026.02.23 01:26:06,01:26:06,97
2026.02.23 05:40:47,05:40:47,12
2026.02.23 05:41:11,05:41:11,11
2026.02.23 06:02:48,06:02:48,15
2026.02.23 06:03:18,06:03:18,99
2026.02.23 06:08:24,06:08:24,106
2026.02.23 06:52:31,06:52:31,15
2026.02.23 06:53:01,06:53:01,194
2026.02.23 06:55:05,06:55:05,109
2026.02.23 06:56:06,06:56:06,74
2026.02.23 07:01:47,07:01:47,15
2026.02.23 07:02:17,07:02:17,61
2026.02.23 07:03:17,07:03:17,102
2026.02.23 07:04:14,07:04:14,38
2026.02.23 07:11:40,07:11:40,7
2026.02.23 07:11:54,07:11:54,110
2026.02.23 07:12:53,07:12:53,108
2026.02.23 07:13:53,07:13:53,56
2026.02.23 07:14:26,07:14:26,9
2026.02.23 07:15:54,07:15:54,100
2026.02.23 07:16:53,07:16:53,65
2026.02.23 07:17:34,07:17:34,71
2026.02.23 07:20:18,07:20:18,90
2026.02.23 07:27:22,07:27:22,6
2026.02.23 07:27:34,07:27:34,25
2026.02.23 07:44:39,07:44:39,7
2026.02.23 07:44:53,07:44:53,2
2026.02.23 07:44:56,07:44:56,16
2026.02.23 08:05:02,08:05:02,8
2026.02.23 08:05:18,08:05:18,14
2026.02.23 08:43:50,08:43:50,7
2026.02.23 08:44:04,08:44:04,4
2026.02.23 09:27:10,09:27:10,7
2026.02.23 09:27:24,09:27:24,57
2026.02.23 09:28:30,09:28:30,138
2026.02.23 09:30:03,09:30:03,40
2026.02.23 09:33:15,09:33:15,7
2026.02.23 09:33:29,09:33:29,12
2026.02.23 10:28:50,10:28:50,15
2026.02.23 10:29:20,10:29:20,23
2026.02.23 10:33:32,10:33:32,7
2026.02.23 10:33:46,10:33:46,11
2026.02.23 10:36:34,10:36:34,7
2026.02.23 10:36:48,10:36:48,4
2026.02.23 11:17:28,11:17:28,8
2026.02.23 11:17:44,11:17:44,172
2026.02.23 11:19:50,11:19:50,313
2026.02.23 11:24:05,11:24:05,90
2026.02.23 11:26:09,11:26:09,8
2026.02.23 11:26:18,11:26:18,39
2026.02.23 11:29:26,11:29:26,41
2026.02.23 11:32:38,11:32:38,287
2026.02.23 11:36:24,11:36:24,158
2026.02.23 11:38:32,11:38:32,8
2026.02.23 11:39:58,11:39:58,8
2026.02.23 11:53:49,11:53:49,6
2026.02.23 11:54:01,11:54:01,1
2026.02.23 12:12:14,12:12:14,16
2026.02.23 12:12:46,12:12:46,8
2026.02.23 12:16:09,12:16:09,8
2026.02.23 13:51:30,13:51:30,7
2026.02.23 13:51:44,13:51:44,106
2026.02.23 13:52:48,13:52:48,140
2026.02.23 15:19:36,15:19:36,7
2026.02.23 15:19:50,15:19:50,183
2026.02.23 15:24:46,15:24:46,54
2026.02.23 16:26:03,16:26:03,6
2026.02.23 16:27:56,16:27:56,6
2026.02.23 16:28:08,16:28:08,88
2026.02.23 16:29:02,16:29:02,101
2026.02.23 16:30:08,16:30:08,81
2026.02.23 16:31:08,16:31:08,101
2026.02.23 16:32:08,16:32:08,101
2026.02.23 16:33:08,16:33:08,69
2026.02.23 16:34:08,16:34:08,81
2026.02.23 16:42:06,16:42:06,15
2026.02.23 16:42:36,16:42:36,192
2026.02.23 16:45:52,16:45:52,6
2026.02.23 16:58:39,16:58:39,16
2026.02.23 16:59:11,16:59:11,110
2026.02.23 17:00:13,17:00:13,107
2026.02.23 17:01:13,17:01:13,46
2026.02.23 17:02:13,17:02:13,103
2026.02.23 17:03:13,17:03:13,9
2026.02.23 17:04:12,17:04:12,20
2026.02.23 17:14:42,17:14:42,6
2026.02.23 17:14:54,17:14:54,13
2026.02.23 17:41:49,17:41:49,15
2026.02.23 17:42:19,17:42:19,99
2026.02.23 17:43:19,17:43:19,107
2026.02.23 17:44:19,17:44:19,104
2026.02.23 17:45:19,17:45:19,112
2026.02.23 17:46:19,17:46:19,115
2026.02.23 17:47:19,17:47:19,114
2026.02.23 17:48:19,17:48:19,113
2026.02.23 17:49:19,17:49:19,110
2026.02.23 17:50:19,17:50:19,109
2026.02.23 17:51:19,17:51:19,111
2026.02.23 17:52:19,17:52:19,110
