Datum,Zeit,Schritte
2026.02.24 07:44:27,07:44:27,15
2026.02.24 07:44:57,07:44:57,1
2026.02.24 07:48:48,07:48:48,7
2026.02.24 07:49:02,07:49:02,27
2026.02.24 07:50:56,07:50:56,7
2026.02.24 07:51:10,07:51:10,43
2026.02.24 07:51:49,07:51:49,43
2026.02.24 07:57:52,07:57:52,7
2026.02.24 07:58:06,07:58:06,69
2026.02.24 08:08:01,08:08:01,6
2026.02.24 08:08:13,08:08:13,1
2026.02.24 08:08:14,08:08:14,19
2026.02.24 08:09:57,08:09:57,19
2026.02.24 08:10:39,08:10:39,49
2026.02.24 08:12:55,08:12:55,106
2026.02.24 08:13:55,08:13:55,110
2026.02.24 08:14:55,08:14:55,109
2026.02.24 08:15:55,08:15:55,108
2026.02.24 08:16:55,08:16:55,105
2026.02.24 08:17:55,08:17:55,74
2026.02.24 08:18:39,08:18:39,42
2026.02.24 08:19:55,08:19:55,108
2026.02.24 08:20:55,08:20:55,105
2026.02.24 08:21:55,08:21:55,29
2026.02.24 08:22:55,08:22:55,105
2026.02.24 08:23:55,08:23:55,99
2026.02.24 08:24:55,08:24:55,88
2026.02.24 08:25:55,08:25:55,88
2026.02.24 08:26:55,08:26:55,64
2026.02.24 08:37:19,08:37:19,7
2026.02.24 08:37:33,08:37:33,22
2026.02.24 08:54:04,08:54:04,7
2026.02.24 08:54:18,08:54:18,118
2026.02.24 08:55:17,08:55:17,111
2026.02.24 08:56:17,08:56:17,111
2026.02.24 08:57:17,08:57:17,81
2026.02.24 08:59:06,08:59:06,7
2026.02.24 09:00:29,09:00:29,6
2026.02.24 09:06:01,09:06:01,15
2026.02.24 09:06:31,09:06:31,116
2026.02.24 09:07:31,09:07:31,66
2026.02.24 09:08:31,09:08:31,45
2026.02.24 09:09:30,09:09:30,1
2026.02.24 09:16:43,09:16:43,12
2026.02.24 09:17:07,09:17:07,109
2026.02.24 09:18:07,09:18:07,115
2026.02.24 09:19:07,09:19:07,103
2026.02.24 09:20:07,09:20:07,88
2026.02.24 09:20:59,09:20:59,97
2026.02.24 09:22:06,09:22:06,179
2026.02.24 09:26:08,09:26:08,48
2026.02.24 09:36:18,09:36:18,6
2026.02.24 09:36:30,09:36:30,32
2026.02.24 09:39:41,09:39:41,7
2026.02.24 09:39:55,09:39:55,43
2026.02.24 10:41:44,10:41:44,6
2026.02.24 10:41:56,10:41:56,2
2026.02.24 11:18:21,11:18:21,7
2026.02.24 11:18:35,11:18:35,61
2026.02.24 11:19:34,11:19:34,539
2026.02.24 11:24:37,11:24:37,264
2026.02.24 11:31:04,11:31:04,431
2026.02.24 11:35:44,11:35:44,179
2026.02.24 12:00:03,12:00:03,7
2026.02.24 14:08:14,14:08:14,7
2026.02.24 14:08:28,14:08:28,56
2026.02.24 14:09:28,14:09:28,1
2026.02.24 14:20:08,14:20:08,7
2026.02.24 14:20:22,14:20:22,56
2026.02.24 14:23:27,14:23:27,15
2026.02.24 14:23:57,14:23:57,54
2026.02.24 14:39:04,14:39:04,7
2026.02.24 14:39:18,14:39:18,88
2026.02.24 14:40:18,14:40:18,108
2026.02.24 14:41:18,14:41:18,241
2026.02.24 14:43:25,14:43:25,202
2026.02.24 14:45:09,14:45:09,148
2026.02.24 14:46:29,14:46:29,120
2026.02.24 14:47:54,14:47:54,9
2026.02.24 14:49:38,14:49:38,15
2026.02.24 14:52:42,14:52:42,115
2026.02.24 14:54:21,14:54:21,382
2026.02.24 14:57:53,14:57:53,260
2026.02.24 15:00:11,15:00:11,196
2026.02.24 15:02:55,15:02:55,7
2026.02.24 15:06:10,15:06:10,30
2026.02.24 15:07:26,15:07:26,194
2026.02.24 15:16:18,15:16:18,8
